River,Latitude,AbsoluteLatitude_10,MeanAirTemp,MeanPrecip,DrainageDensity,SlopeMax,SlopeCV,Log_Richness,Log_MeanAnnualQ,Log_LowFlowQ,Log_HighFlowQ,Log_BasinArea,Log_StreamLength,Log_ElevationRange
Parana,-32.67,3.27,22.2,1.239,1.864,40,2.338,2.829,4.179,4.084,4.256,6.412,5.683,3.799
Pascagoula,30.61,3.06,17.9,1.51,1.567,1.8,0.602,1.978,2.455,1.946,2.763,4.391,3.586,2.305
Rapel,-33.98,3.4,12.4,0.713,2.133,39,0.928,0.954,2.207,1.708,2.639,4.137,3.466,3.701
Rappahannock,38.23,3.82,12.8,1.059,1.425,14.7,1.577,1.82,1.679,1.404,1.885,3.847,3.001,3.063
Rio_Ameca,20.91,2.09,20,0.934,1.225,23.6,0.747,1.322,1.642,0.602,2.125,4.115,3.203,3.442
Rio_Doce,-19.41,1.94,21.4,1.225,1.692,20.9,1.081,1.505,2.985,2.676,3.27,4.954,4.183,3.422
Rio_Grande_de_Anasco,18.28,1.83,22.9,2.441,1.504,8.4,0.491,1.415,0.964,0.477,1.281,2.682,1.859,3.016
Rio_Grande_US-Mexico,25.9,2.59,17.4,0.362,1.394,36.7,1.44,2.057,1.677,1.344,1.996,5.94,5.084,3.622
Rio_Parnaiba,-3.47,0.35,26,1.013,1.637,9.1,1.009,1.978,2.903,2.507,3.247,5.527,4.741,3.034
Rio_Tehuantepec,16.43,1.64,20,0.854,1.505,24.3,0.618,1.322,1.505,1.19,1.856,4.016,3.193,3.558
Rio_Terraba,8.97,0.9,21.9,3.009,1.84,24.4,0.714,1.491,2.498,1.751,2.899,3.681,2.945,3.571
Roanoke,36.21,3.62,13.8,1.112,2.088,14.4,1.509,1.991,2.375,2.199,2.539,4.404,3.723,3.063
Russian,38.51,3.85,13.5,1.098,1.828,19.7,0.809,1.322,1.805,0.666,2.271,3.571,2.834,3.094
Sabine,30.3,3.03,18,1.243,1.869,2.2,0.731,2.053,2.362,1.858,2.588,4.403,3.674,2.35
Sacramento,38.16,3.82,11.8,0.774,2.428,30.4,1.049,1.146,2.844,2.362,3.209,4.858,4.243,3.626
Saint_Johns,30.32,3.03,3.3,1.021,4.983,11.3,0.816,1.851,2.34,2.06,2.455,4.353,4.05,2.906
Salinas,36.63,3.66,14.1,0.437,2.296,18,0.873,1.041,1.063,-0.33,1.679,4.041,3.402,3.24
San_Diego,32.77,3.28,17.1,0.401,2.391,18.6,0.837,0.699,0.044,-1.226,0.502,3.057,2.435,3.28
Santa,-8.95,0.9,9.6,0.578,1.708,37.1,0.666,1.146,2.05,1.42,2.547,4.075,3.307,3.817
Santa_Clara,34.29,3.43,14.6,0.439,1.848,21.3,0.71,0.778,0.427,0.228,0.573,3.617,2.884,3.423
Santa_Margarita,33.31,3.33,16.5,0.411,3.826,17.9,0.783,0.602,0.091,-1,0.663,3.278,2.662,3.303
Santa_Maria_California,34.97,3.5,14.2,0.432,1.969,18.8,0.873,0.845,-0.204,-1,0.442,3.687,2.572,3.309
Santa_Maria_Panama,8.22,0.82,26.5,2.487,0.11,5.3,0.594,1.342,1.91,1.352,2.259,3.459,1.729,2.73
Santa_Ynez,34.67,3.47,14.1,0.55,2.208,17,1.259,0.845,0.295,-1,0.911,3.079,2.803,3.245
Santee,33.3,3.33,15.7,1.217,1.924,15.2,1.647,1.973,2.405,2.119,2.673,4.597,3.881,3.222
Santiago,21.83,2.18,17.8,0.716,1.181,27.7,1.039,1.771,2.343,1.756,2.813,5.283,4.356,3.643
Sao_Francisco,-9.98,1,23.5,0.928,1.797,13.8,1.331,2.326,3.452,3.175,3.684,5.791,5.045,3.264
Tabasara,8.07,0.81,24.2,3.056,1.71,19.7,0.691,0.954,1.943,1.29,2.316,3.079,2.312,3.324
Tapajos,-6.05,0.6,25.2,2.114,1.722,4.5,1.194,2.387,3.984,3.571,4.285,5.633,4.869,2.942
Tocantins,-3.76,0.38,25.9,1.648,1.717,14.7,1.224,2.464,4.043,3.609,4.387,5.886,5.121,3.216
Trinity,29.96,3,18.6,0.976,1.852,2.2,0.626,1.987,1.234,1.192,1.279,4.668,3.936,2.642
Tuira,8.05,0.81,25.2,2.628,0.529,13.9,0.96,1.792,1.91,1.201,2.189,3.873,2.596,3.238
Uruguay,-31.38,3.14,18.9,1.623,1.64,9.1,1.063,2.418,3.733,3.554,3.867,5.473,4.688,3.242
Usumacinta,17.43,1.74,24.3,1.934,2.741,31.1,1.302,1.886,3.281,2.821,3.567,4.896,4.334,3.581
Verde_Rio_Atoyak,16.28,1.63,18.9,1.042,1.625,28.3,0.713,0.954,2.21,1.435,2.672,4.263,3.474,3.516
Waccasassa,29.2,2.92,20.6,1.367,1.751,0.6,1.039,1.623,0.82,0.439,1.108,3.199,2.442,1.613
Xingu,-3.22,0.32,25.1,1.987,1.697,4.8,1.165,2.152,3.908,3.078,4.3,5.666,4.896,2.893
