Etheostoma_olmstedi_presence,Slope,ArbolateSum,ElevCat,PctAg2006Slp10Cat,CBNFCat,FertCat,ManureCat,Pestic97Cat,BFICat,RunoffCat,RdDensCat,PctImp2001Cat,Al2O3Cat,CaOCat,Fe2O3Cat,K2OCat,MgOCat,Na2OCat,P2O5Cat,SCat,NCat,HydrlCondCat,KffactCat,ClayCat,SandCat,OmCat,PermCat,RckDepCat,WtDepCat,InorgNWetDep_2008Cat,NH4_2008Cat,NO3_2008Cat,SN_2008Cat,PctConif2001Cat,PctCrop2001Cat,PctDecid2001Cat,PctGrs2001Cat,PctHay2001Cat,PctMxFst2001Cat,PctUrban2001Cat,PctWdWet2001Cat,HUDen2010Cat,PopDen2010Cat,Precip8110Cat,Tmax8110Cat,Tmean8110Cat,Tmin8110Cat,MSST_2008,MWST_2008
1,-4.34943167,0.879211724,4.729686165,1.499782623,1.175901371,1.81997172,1.974916884,1.581428696,41,365.4562559,2.702076995,0.470268176,14.5,0.810930216,1.348073124,1.085189281,0.058268854,1.193922454,-2.120263561,-4.605170186,-4.998212774,2.813920269,0.28,38.81645814,33.47557385,-1.215262382,1.580761599,148.1198213,178.8664299,3.281931568,2.003533732,7.645061998,475.8183641,2.044623165,0.319394023,4.079464887,1.95220664,2.964826845,1.440312069,1.686015618,0.284620004,2.263519821,2.971815615,1159.122016,20.36579372,14.04439121,7.719452624,20.66308967,4.662771029
0,-1.906992222,0.644482009,6.422743558,2.079565665,0.48221771,1.268666477,0.573562622,4.303516238,50,359,1.105092776,0.101878791,14.80408786,1.558610702,1.705837568,0.858784945,1.022564258,1.178922082,-2.158259978,-4.116996266,-4.317627498,-2.197278823,0.192174777,23.0465144,36.46306852,-0.47374448,2.187696264,136.559429,182.7835204,2.824413291,1.751562886,6.499894707,415.1438649,0.09467804,0,4.499003873,0,2.162877767,0.970222053,0.970222053,0,2.15886591,2.829839733,1150.543635,17.83882605,12.16903963,6.493825011,17.26267253,3.427659557
0,-4.830270651,1.481831788,5.167231595,1.921978053,0.902354176,2.027398127,0.312143001,1.282263248,49,372,1.406958277,0.038594278,14.33569145,1.740639461,2.214610735,0.447635985,1.379038835,0.939472328,-1.813955975,-3.121408927,-3.851069026,-0.118244274,0.296580733,33.36,25.76333786,-0.634878272,1.184789985,128.77,104.85,3.263329513,1.996598698,7.590126901,472.2302946,2.270459907,0,3.513467485,3.365610042,3.32251437,0,0.595595685,0,1.776208714,2.459187296,1122.791877,20.17615909,13.67751492,7.172425792,20.13920332,5.264164739
0,-2.255533296,0.2631332,6.65769788,0,0,0,0,0.265277178,46.11147541,445,0,0,4.367575317,2.559880915,0.880644346,-0.019818159,0.896781691,-1.033216549,-1.689408509,-0.736312644,-2.536738114,-1.854710029,0.25,16.51,40.51,-0.798507696,2.896464272,84.6,176.86,2.886984949,1.743520369,6.803868696,437.9107739,1.778004094,0,4.565201652,0,0,0,0,0,1.502512403,1.374974413,1111.17441,16.68882226,10.80447639,4.91911671,16.33169593,4.905194708
0,-3.675287445,0.372252974,5.57985549,3.101014046,1.484463728,1.930722279,0.806897599,1.982142434,57,359,3.438520826,1.461266695,13.48360656,0.755473048,0.971283584,1.549799862,-0.470428916,1.126961205,-2.729287944,-4.715266342,-5.449140256,-3.675292141,0.28,40.84,29.82,-1.427116356,1.40854497,148.97,181.35,3.015533814,1.852450591,7.001430195,436.233083,2.014377948,0,3.826070481,0,3.46647382,1.628159208,2.618602071,0,2.807955833,3.57349739,1099.027546,19.52270061,13.22812098,6.928250729,18.07984627,4.905025075
0,-3.868484703,0.489193324,4.755987899,0.460455265,2.02768646,2.187823803,0.364480657,4.897970753,33,404,0.194910356,0.026545125,10.72471935,1.471124504,1.761809533,0.312272,1.154723562,0.4442059,-1.577667267,-3.506557931,-4.854336537,-0.663856445,0.35,29.61719298,24.91783626,-0.504297272,1.382110181,129.6080351,87.75249123,3.960191284,2.52908662,8.859005752,566.7663475,1.757050978,2.957283193,3.758203655,0.300754154,3.285823722,0,0.827044004,0,2.866281961,3.909742733,1063.675569,18.82134069,12.84444646,6.865970642,19.90031068,5.24176373
1,-9.115030192,3.403494741,2.657820004,1.392021581,0.833382172,1.408565665,1.281538258,2.747028369,45,444.7974607,4.564595638,0.497802863,11.61998829,0.224613105,1.346856959,0.809771812,0.074013826,0.470192643,-1.895697537,-1.172034692,-0.04280423,2.247331939,0.291638452,25.55592503,33.11185611,0.091847006,1.451494883,152.4,61.48966143,3.717605393,2.371827872,8.323134613,531.8889586,1.478356444,2.945329565,2.855580291,0.434464161,1.076606511,2.395694325,1.345887939,2.903120988,3.905935494,4.983098171,1168.957516,21.22357085,14.65131227,8.072727361,22.59591438,7.305924731
1,-4.495727613,0.704581558,4.597372991,0,0,0,0,1.841099006,29.00358102,402,0.863426205,0.07997384,10.89059127,-0.397996621,1.199336181,0.967593906,0.314944151,0.48555913,-1.935741506,-1.231784986,-3.204696355,-4.276845119,0.28,33.89,41.88,-0.820980552,1.906575144,146.05,172.82,3.60878112,2.30259209,8.080505365,516.2103159,2.203570657,0,4.195672787,2.25180997,0,0.56586302,0.88888181,2.131870046,0.171259919,2.756818992,1066.641596,19.3560135,13.07724627,6.79691386,20.3130004,4.634271158
0,-4.020444312,0.1889661,5.523760862,0.937818985,2.210037932,2.709292952,1.374043459,4.039370407,56,359,3.761575702,1.108579719,13.29752495,1.542244239,1.825024458,0.5392148,1.134089018,0.881776126,-2.218428226,-4.082931856,-3.735956596,-1.071550856,0.28,40.84,29.82,-1.427116356,1.40854497,148.97,181.35,3.02183294,1.846649186,7.049355952,435.9361667,2.085253634,3.432314404,1.769934072,0,3.848161285,0.2706993,2.558551895,0,2.281775697,3.003743954,1099.250958,19.4008694,13.19561638,6.988900274,18.03499534,5.268998249
0,-3.598447335,0.519388854,5.150152205,2.266629118,1.385030227,2.67257914,0.404903468,4.138588211,41.94104436,336,4.275770738,0.339915408,14.62230273,1.386172858,1.844797468,0.855265385,1.007255435,1.125373404,-2.066363726,-3.680466502,-4.119595172,-1.658405697,0.284334643,39.55903425,29.0429534,-1.218451057,1.373607541,145.5107075,168.2492139,3.635281739,2.357707424,8.007387343,516.3293776,1.008175113,1.124112562,3.005816017,2.986169571,3.8885147,0.247438939,1.61793623,0,2.152841242,2.838914795,1127.766499,20.69143496,14.1714725,7.644629328,19.63787134,5.439676355
1,-5.313089946,0.928219303,3.234316692,0,0.828438223,1.33515317,0,2.945119531,52,377,2.06030683,0.018611847,12.06624612,0.356503152,2.238937228,0.760463948,0.183720331,0.342821724,-1.991300365,-3.336712934,-0.394835819,2.052993918,0.2,16.12,55.28,-0.733969175,2.574137784,152.4,158.95,3.878689766,2.399932673,8.941628994,571.8085304,3.997617194,0.979021261,2.893257763,0,1.057308483,2.805460119,0.768286825,2.327136712,2.478435837,3.771577272,1118.210678,20.49969896,14.61773422,8.729550678,20.14174096,7.782842167
0,-2.380011102,0.659590397,5.960898916,0.978994727,0.468903317,0.953705168,2.678286099,2.344694971,40.76441838,354,3.625945843,0.183461344,6.445491538,2.625092832,1.034352823,0.139769762,0.699052647,-0.564523982,-1.561806696,-0.35403295,-2.534574643,-2.947573623,0.305288368,22.4216129,28.85050831,-0.181547662,2.426543439,100.1015445,164.6375953,3.537072604,2.119557019,8.387497785,536.01771,0.681842071,0.63114698,4.496033679,0,1.630332463,0.330027832,1.789312685,0,1.634877717,2.067774227,948.5913098,17.90120103,10.90181686,3.896936137,17.37281672,4.191898538
1,-7.183680073,6.309099762,5.051382559,1.384486743,2.532352684,2.845856927,3.276494172,4.081798648,52.51929825,420,2.159771676,1.233441429,5.672807058,2.865583605,0.920911647,-0.029013319,1.102318878,-0.020233122,-0.600392073,-0.515507609,-2.876593446,-6.355363809,0.32,19.52517647,27.50219608,-0.094964109,2.040374542,87.59129412,158.7346275,3.985490421,2.556458306,8.877410931,568.3203884,0.748842537,3.140060434,3.094367438,0,3.605772631,0.429595421,2.432018835,1.681878566,3.63063231,4.64159594,977.3436785,17.81342537,11.79492982,5.769774801,22.78916616,3.427611098
0,-4.00038493,0.802898045,5.368985279,0.333302662,0.097178399,0.412298249,0.065823297,0.778614727,52,505,2.938450126,0.522310058,11.94800519,1.079001637,1.604847057,0.460755513,0.494196632,0.93504906,-2.236353312,-4.056990571,-3.564733134,-2.745342869,0.41,29.94,15.57,-0.891598119,1.566530411,107.44,181.58,3.168111381,1.933873145,7.394363014,455.3191678,3.604396523,0,3.978794001,0,1.534550669,1.367930572,1.81521637,0,1.932144244,2.681763372,1111.043235,20.12812245,13.47967986,6.82704546,20.29054725,4.271437626
0,-2.164281605,0.773805084,6.492227909,0,0,0,0,0.130551066,51,441.1816347,0.152479818,0,10.1887625,0.650329445,1.177765323,0.727899413,0.330555293,-0.466627302,-1.725213033,-0.921948736,-2.962058745,-1.733116756,0.253370333,17.81310797,38.88847629,-0.774753505,2.854372133,84.49090817,176.9922704,2.419919141,1.468067971,5.680120025,368.7707965,1.575779902,0,4.576415601,0,0,0,0,0,1.935105362,2.704063553,1047.622432,17.61926203,11.81956449,6.015068732,17.0852617,4.842328586
0,-7.76238663,1.700922603,4.98454998,0,0,0,0,0.298366982,46,355,1.814435197,0,14.62152672,1.261543748,1.515458805,1.002867982,0.555579059,1.41984976,-2.179093909,-4.133418086,-4.610383753,-1.031990666,0.281889764,40.84,29.52850394,-1.427116356,1.40854497,148.97,181.35,3.211257891,1.933559067,7.570725587,468.0160085,2.346488948,0,3.843086375,2.66624347,0,1.596759454,0,0.580762931,1.776624716,2.39775277,1111.950714,20.30458722,13.8619573,7.411065792,20.4434572,5.292957896
1,-4.110138025,0.492865298,3.558073026,0.276781035,2.785696004,3.768765164,0,4.976328707,52,402,2.616694359,0.791467667,11.37330401,1.848410504,1.389512687,0.777053354,0.770180325,0.209013298,-1.625715857,-3.174255007,-0.543997564,1.761009881,0.2,16.12,55.20541454,-0.733969175,2.574137784,152.4,158.95,3.985019085,2.47398647,9.157646374,588.7056449,1.84957904,3.611813816,2.449860883,0,3.435220808,2.573935548,1.650423159,0.324004161,2.535488396,3.127914064,1106.129234,19.9847001,14.44413884,8.895586415,20.00779247,8.210342018
1,-5.143807323,1.593918101,3.953152642,0,0,0,0,0.396585641,44,377,1.330932119,0.285711628,12.189044,0.468715951,1.258133647,0.816709071,0.269110673,0.545881361,-1.96837976,-3.396717462,-0.352998841,2.274444243,0.2,16.12,55.28,-0.733969175,2.574137784,152.4,158.95,3.787274837,2.387165785,8.578718185,545.9512329,2.864223581,0,4.16051631,0,0,0.371524767,1.501198616,2.256429251,0.09164106,0.67110824,1075.954829,20.23989346,14.02760985,7.811009246,20.8466924,6.218018015
1,-9.115030192,5.773339631,2.3496595,0,0,0,0,1.019097751,49,351,3.589442492,0,12.91221809,-0.134626878,2.429819798,0.905469222,0.103507372,0.33626009,-1.861830077,-3.46871634,-1.466667465,1.697730231,0.22,9.98,65.92,-2.040220829,3.0194488,152.4,141.88,3.846400738,2.413475275,8.750513077,557.8122559,0,3.433987204,0,0,0,0,0,4.110873864,1.549778364,2.198636654,1104.769531,20.71717644,14.34875679,7.980297565,23.91784242,6.430289309
1,-4.768017405,-0.827822084,4.808402981,0.10018381,1.010930125,2.373949579,0.222932781,5.332113238,31,372,2.031715743,0.114381872,14.22576714,2.109811189,2.441237504,-0.271109481,1.660851324,0.996465889,-1.690436477,-2.995732254,-3.922073341,0.31903539,0.34691254,34.09084299,24.79615911,-0.679021914,1.213680015,135.4673973,121.6154584,3.550241485,2.393539338,7.508019787,495.3658873,3.522727826,0.146747156,3.120352903,1.533723723,3.250978781,2.669669318,1.183425959,0.76969835,2.136126734,2.849712121,1114.796356,21.208288,14.62385347,8.035162002,20.5752994,8.400831757
0,-3.616438242,0.460584407,5.335527771,1.308358882,0.51005387,1.538928531,0.287199796,2.529882961,48,424,3.462106368,0.260805302,13.62573526,1.218702691,1.737418866,0.794360387,0.815657708,0.950714185,-2.0666792,-3.898515543,-4.96833989,-0.774410361,0.28557377,36.01048216,27.36962392,-0.858176491,1.528269692,142.84,154.6369142,3.508564472,2.335039854,7.528596401,496.0433655,2.523759494,0,4.191041816,0.768803753,2.539100747,1.383638958,1.619416886,0,2.280236458,2.944886345,1122.351603,20.82993278,14.23927369,7.645197581,19.63970706,5.847514025
1,-5.484960247,0.806029338,2.256962378,0,1.478927163,1.9220995,0,3.891076936,52,391,5.16730078,0.346505766,11.13596989,0.553229045,1.708953887,0.777530738,0.117919058,0.54282841,-1.998716549,-3.189810858,-0.574320494,2.076655528,0.229294118,31.73,36.2272,-0.105360516,2.773213527,152.4,24.07,3.644911017,2.234786707,8.474949343,534.1132949,2.998669133,2.32007825,2.528078821,0,0,1.40089316,1.561235811,3.811877626,2.429541717,2.991232263,1166.034747,20.35910766,14.9057716,9.44874231,20.05220742,8.481694872
1,-5.118365281,0.705075751,3.236700751,0.124954342,2.523490116,2.603182515,0,3.836314219,52,383.3913043,2.535783463,0.277873701,11.96566868,0.188552091,2.68938146,0.706884365,0.088163814,0.119226386,-2.018632481,-3.288091962,-0.431937473,1.805825244,0.2,16.12,55.28,-0.733969175,2.574137784,152.4,158.95,3.848155873,2.364425368,8.929458602,570.5621025,2.718173294,3.449325364,2.685436172,0,2.371743582,2.676318677,1.844331153,2.262483779,2.387846673,2.943937063,1151.434068,20.38087195,14.72860321,9.072648909,20.74044453,8.360481121
1,-9.115030192,8.098362865,1.579863942,0.115135646,2.796124843,3.458273408,0,4.182430285,46,377,0.999503103,0.055190511,9.546268102,-0.0904382,1.440380483,0.734413914,-0.242582803,0.583849374,-1.999874647,-2.920840167,-0.174960228,3.566189223,0.053886516,9.98,65.913583,-2.040220829,3.0194488,152.4,141.88,3.926926001,2.472379434,8.904679396,568.5598157,1.851462493,2.557033376,0.711585061,0,2.140604367,2.058401114,0.649817978,1.352634727,1.968647699,2.658657996,1078.564694,19.95947526,14.06280483,8.159663578,25.31007694,4.136423188
1,-9.115030192,7.960816352,0.584607012,0,0,0,0,1.791233698,50,358,0.109000616,0,12.59831619,0.75487241,2.605674114,0.715702886,0.156678941,0.047392009,-0.477569735,-0.554760117,-0.097503674,1.415582969,0.22,19.62,45.46,-1.714798428,2.511223958,152.4,63.7,3.887596258,2.439153186,8.845493419,563.3800289,0,0,0,0,0,0,0,4.615120517,2.186412475,3.037820693,1120.94873,21.0729599,14.69022369,8.307487488,24.58175484,5.036006752
1,-9.115030192,5.456341962,0.086713509,0,0.06967992,0.091867835,0,3.294791105,47,402,0.977507621,0.853171592,12.3204298,0.312984217,2.693448582,0.750831063,0.186479603,0.165867717,-2.012470928,-1.221190214,-0.310609604,1.805825244,0.311993127,10.8,42.4338488,1.591273942,2.429217744,152.4,48.53,4.198984623,2.65743494,9.473110199,608.7554932,0,0.70849275,0.52312086,0,0,0,1.698794761,0.864816557,2.958515967,3.895215401,1079.137617,19.35854644,13.88687103,8.407816926,23.42477246,4.840302983
