"","SpringArea","SummerArea","FallArea","WinterArea","Overlap"
"p_value",0,0,0.01,0,0
"empirical",0.106064076537273,0.0262361052189879,0.0996812664154174,NA,0
"sim1",0.357871056239699,0.329096038390709,0.136008855271412,NA,4.11089792995044
"sim2",0.24587844921607,0.403066893046154,0.1171334992254,NA,3.52170787611026
"sim3",0.345278900180883,0.185564407701816,0.270806347488382,NA,3.8913312916136
"sim4",0.301043727846237,0.315572287676574,0.185633858860316,NA,3.7020712216793
"sim5",0.216304815733283,0.389135164504842,0.22774877881215,NA,4.05667841852951
"sim6",0.329494425534613,0.152674657072731,0.332303693485913,NA,3.58758865945388
"sim7",0.208723743648769,0.362002299178871,0.107610647878702,NA,2.75716984371623
"sim8",0.179451740049286,0.187573367801352,0.357871056239699,NA,3.75096614112316
"sim9",0.125771627962439,0.345027573302041,0.268284390782685,NA,3.71515891201526
"sim10",0.27677268478197,0.241454131589185,0.314040768697333,NA,3.56527573677966
"sim11",0.206961173071372,0.140874222306274,0.197442485440299,NA,2.30290680435722
"sim12",0.320598723911297,0.235139790082744,0.248477213895487,NA,3.91790443498294
"sim13",0.156393315357832,0.232136242596397,0.301391148167315,NA,3.41972158458105
"sim14",0.262109106007502,0.37563456512723,0.274983887350144,NA,4.26993168952695
"sim15",0.200464296268413,0.200626171155592,0.297838516427448,NA,2.98205420688676
"sim16",0.22489545875262,0.219473573683455,0.343221820699402,NA,3.32175323086009
"sim17",0.409419327110439,0.282460011722186,0.123077247819222,NA,3.72975484802729
"sim18",0.27192392576309,0.341435577427894,0.21204299837974,NA,3.370612592663
"sim19",0.252024456609167,0.303190096079855,0.166778787203074,NA,2.98905223693176
"sim20",0.284033900800096,0.313471593322282,0.216947663309664,NA,3.59688805511982
"sim21",0.283125180307015,0.220040814141983,0.313327582189637,NA,3.5890007617584
"sim22",0.319837896934601,0.343964397710195,0.148622945073319,NA,3.68684360509683
"sim23",0.268868871155686,0.355220749410442,0.274233076303571,NA,4.27878775953201
"sim24",0.268868871155686,0.310813000188334,0.21935291193882,NA,3.80663807487332
"sim25",0.126283457700551,0.272066682235963,0.451885800283664,NA,3.8029552291044
"sim26",0.246125994897154,0.378610534953857,0.12088340589177,NA,2.8556388291194
"sim27",0.239538794555025,0.36500789186901,0.16107004602128,NA,2.9541632368916
"sim28",0.25508468334858,0.222486937228171,0.257724484086221,NA,3.88738308000515
"sim29",0.214793493565414,0.414146263711662,0.22526705534273,NA,4.11236191796498
"sim30",0.251003999581427,0.256860875012859,0.303509192144551,NA,3.75480563828861
"sim31",0.32454797429665,0.193058289081564,0.199442578141987,NA,3.81252394909146
"sim32",0.310251479323891,0.22088456072672,0.272330653637324,NA,3.5063340935415
"sim33",0.200889849931266,0.274189241596776,0.192469289722398,NA,3.51779263397421
"sim34",0.268089926056893,0.380475812602492,0.217598766316236,NA,3.95111971474217
"sim35",0.271722203762182,0.223246684324447,0.32133392822981,NA,3.55057131537495
"sim36",0.196253636130341,0.144642735161728,0.243323515044066,NA,1.93317135428753
"sim37",0.378610534953857,0.109117074843275,0.278534949891859,NA,3.51476117908416
"sim38",0.195254360581025,0.157835343101501,0.307172649083261,NA,2.74772834605668
"sim39",0.234116698697165,0.267022047478064,0.235238830681621,NA,3.44105170384728
"sim40",0.377323614286256,0.194582385287055,0.26863970864564,NA,3.72454299105008
"sim41",0.208231782144418,0.301572369292963,0.357812206330523,NA,4.28636392017194
"sim42",0.322936115519216,0.248280749900415,0.189777289156247,NA,2.77228383776214
"sim43",0.265423419981198,0.246496207001447,0.275953202908241,NA,3.60474935347556
"sim44",0.362189707532636,0.211119127051863,0.140360363030429,NA,3.24354831125021
"sim45",0.367255682520769,0.218011493438751,0.217983191490748,NA,3.39326172596641
"sim46",0.199159522033716,0.340181944381104,0.230869019024871,NA,3.55140060520666
"sim47",0.28975482762816,0.195110464365503,0.311540916721208,NA,3.18707223557998
"sim48",0.215527978289529,0.228681268969863,0.269590048698779,NA,3.26299495130069
